t=2026-01-10T13:05:39+0100 lvl=info msg="no configuration paths supplied"
t=2026-01-10T13:05:39+0100 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/fabulous/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="using configuration at default config path" path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="open config file" path=/Users/fabulous/.ngrok2/ngrok.yml err=nil
t=2026-01-10T13:05:39+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-10T13:05:40+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-10T13:05:40+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=4d0763973705 l=[::1]:3000 r=74.125.210.10:64415
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=288e0e0554c0 l=[::1]:3000 r=74.125.210.2:54995
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=4d94e797e01b l=[::1]:3000 r=74.125.210.5:50906
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=197905dee4ee l=[::1]:3000 r=74.125.210.11:41112
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=3ab1d3b96f4d l=[::1]:3000 r=74.125.210.1:50801
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=42895ce8c663 l=[::1]:3000 r=74.125.210.10:39657
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=348012454197 l=[::1]:3000 r=74.125.210.11:35422
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=4653f04574fc l=[::1]:3000 r=74.125.210.10:57845
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=23fa7f5a5da6 l=[::1]:3000 r=74.125.210.1:36947
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=3bfd7aace488 l=[::1]:3000 r=74.125.210.6:51992
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=0c4f02a0917c l=[::1]:3000 r=105.112.10.109:45835
t=2026-01-10T13:58:35+0100 lvl=info msg="join connections" obj=join id=98fae3242a39 l=[::1]:3000 r=105.112.10.109:45834
t=2026-01-10T13:58:35+0100 lvl=info msg="join connections" obj=join id=212aee571e5d l=[::1]:3000 r=105.112.10.109:45834
t=2026-01-10T13:58:35+0100 lvl=info msg="join connections" obj=join id=a198dc863a1e l=[::1]:3000 r=105.112.10.109:45839
t=2026-01-10T13:58:35+0100 lvl=info msg="join connections" obj=join id=877eb6bb8f67 l=[::1]:3000 r=105.112.10.109:45834
t=2026-01-10T14:35:35+0100 lvl=info msg="join connections" obj=join id=5e9087ad1c25 l=[::1]:3000 r=102.90.79.239:3773
t=2026-01-10T15:04:41+0100 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=2db58b8806e4 clientid=04872acab69f6381be5a737dca873b47
t=2026-01-10T15:04:41+0100 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=7cf105f755aa err="session closed"
t=2026-01-10T15:04:51+0100 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.us.ngrok-agent.com:443\": dial tcp: lookup connect.us.ngrok-agent.com: i/o timeout"
t=2026-01-10T15:05:01+0100 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.us.ngrok-agent.com:443\": dial tcp: lookup connect.us.ngrok-agent.com: i/o timeout"
t=2026-01-10T15:05:12+0100 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.us.ngrok-agent.com:443\": dial tcp: lookup connect.us.ngrok-agent.com: i/o timeout"
